,Oomycota,Hyphochytriomyceta,Bicoecea,Labyrinthulomycetes,MAST,Synurophyceae,Chrysophyceae,Xanthophyceae,Eustigmatophyceae,Bacillariophyta,Bolidophyceae,Dictyochophyceae,Pelagophyceae,Syndiniales,Dinophyceae,Apicomplexa,Colpodea,Litostomatea,Oligohymenophorea,Phyllopharyngea,Spirotrichea,Granofilosea,Imbricatea,Sarcomonadea,Thecofilosea,Phaeodarea,Vampyrellida,Plasmodiophorida,Globothalamea,Monothalamids,Radiolaria,Telonemia,Centroheliozoa,Haptophyta,Goniomonadales,Cryptomonadales,Katablepharidaceae,Rhodophyta*,Chlorophyceae,Trebouxiophyceae,Mamiellophyceae,Prasino,Zygnemophyceae,Klebsormidiophyceae,Embryophyceae*,Picozoa,Apusozoa,Ichthyosporea,Choanoflagellida,Metazoa*,Fungi*,Nucleariidea,Variosea,Lobosa,Mycetozoa,Heterolobosea,Kinetoplastida,Diplonemea,Euglenida
Telonemia,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centroheliozoa,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Haptophyta,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,0,,,,,,,,,,,,,,,,,,,,,,,,,
Goniomonadales,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,
Cryptomonadales,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0.5,0,,,,,,,,,,,,,,,,,,,,,,,
Katablepharidaceae,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,0,,,,,,,,,,,,,,,,,,,,,,
Rhodophyta*,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,0,,,,,,,,,,,,,,,,,,,,,
Chlorophyceae,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,6,0,,,,,,,,,,,,,,,,,,,,
Trebouxiophyceae,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,6,0.5,0,,,,,,,,,,,,,,,,,,,
Mamiellophyceae,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,6,1,1,0,,,,,,,,,,,,,,,,,,
Prasino,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,6,1.5,1.5,1.5,0,,,,,,,,,,,,,,,,,
Zygnemophyceae,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,6,2,2,2,2,0,,,,,,,,,,,,,,,,
Klebsormidiophyceae,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,6,2,2,2,2,0.5,0,,,,,,,,,,,,,,,
Embryophyceae*,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,6,2,2,2,2,1,1,0,,,,,,,,,,,,,,
Picozoa,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,,,,,,,,,,,,,
Apusozoa,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,,,,,,,,,,,,
Ichthyosporea,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6,0,,,,,,,,,,,
Choanoflagellida,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6,0.5,0,,,,,,,,,,
Metazoa*,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6,0.5,0.5,0,,,,,,,,,
Fungi*,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6,1.5,1.5,1.5,0,,,,,,,,
Nucleariidea,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6,1.5,1.5,1.5,2,0,,,,,,,
Variosea,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,8,0,,,,,,
Lobosa,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,8,0.5,0,,,,,
Mycetozoa,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,8,1,1,0,,,,
Heterolobosea,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,,,
Kinetoplastida,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1.5,0,,
Diplonemea,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1.5,1,0,
Euglenida,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1.5,1,0.5,0
